glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
蒏,U+848F,"云合三去庚
曉合三去清","爲命
休正","yengh
hjyengh",you,wing6
𮠳,U+2E833,"初開三上侵B
生開二上咸","初朕
所斬","chrimx
sremx",chěn,cam2
𬪧,U+2CAA7,"影開一平侯
影開三去魚","烏侯
依倨","qu
qioh",yù,jyu3
酱,U+9171,精開三去陽,子亮,ciangh,jiàng,zoeng3
𬪩,U+2CAA9,娘開三平鍾,女容,nryung,nóng,nung4
𰼅,U+30F05,以開三入清,羊益,jek,yì,jik6
𫑷,U+2B477,"來開二上咸
初開二上銜","力減
初檻","lremx
chramx",yàn,jim6
酿,U+917F,娘開三去陽,女亮,nriangh,niàng；niáng,joeng2；joeng6
酾,U+917E,"生開三上支B
生開三平支B
生開三平魚","所綺
所宜
所葅","sriex
srie
srio",shāi；shī,si1
酽,U+917D,疑開三去嚴,魚欠,ngiamh,yàn,jim6
释,U+91CA,書開三入清,施隻,sjek,shì,jik6；sik1
厘,U+5398,來開三平之,里之,li,chán；lí,lei2；lei4
钌,U+948C,端開四上蕭,都了,teux,liào；liǎo,liu5；liu6
钊,U+948A,"章開三平宵A
見開四平蕭","止遙
古堯","cjeu
keu",zhāo,ciu1
钉,U+9489,"端開四去青
端開四平青","丁定
當經","tengh
teng",dìng；dīng,deng1；ding1
𫟲,U+2B7F2,群開三平尤,巨鳩,giu,qiú,kau4
针,U+9488,"章開三去侵A
章開三平侵A","之任
職深","cjimh
cjim",zhēn,zam1
𫓥,U+2B4E5,幫開二入山,博拔,pret,bā,baat3
钓,U+9493,端開四去蕭,多嘯,teuh,diào,diu3
钐,U+9490,生開二去銜,所鑑,sramh,shàn；shān,saam1；saam3；sin3
𰽛,U+30F5B,清開三上宵A,親小,chieux,qiǎo,ciu2
𬬪,U+2CB2A,溪開一上侯,苦后,khux,kòu,kau3
钏,U+948F,昌合三去仙A,尺絹,chjyenh,chuàn,cyun1；cyun3
钒,U+9492,滂合三上凡,峯犯,phyamx,fán,faan4
𰽗,U+30F57,云合三平虞,羽俱,yo,huá,
𬬨,U+2CB28,"匣合二平麻
影開一平模","戸花
哀都","ghrua
qo",huá,
𬬧,U+2CB27,匣開一去寒,侯旰,ghanh,hàn,hon6
𮣲,U+2E8F2,"見開一平冬
見開一平東
見開二平江","古冬
古紅
古雙","kuung
kung
krung",gāng,gong1
𰽘,U+30F58,"定開一去泰
定開四去齊","徒蓋
特計","dad
deh",dì,dai6
𨰿,U+28C3F,曉開三入欣,許迄,hiot,xì,hat1
𬬩,U+2CB29,以開三入蒸,與職,jik,yì,jik6
钗,U+9497,初開二平佳,楚佳,chre,chāi,caai1
䥺,U+497A,以開三平麻,以遮,ja,yé,aa4；je4；ngaa4；ze4
𬬱,U+2CB31,"疑開三上眞A
見開三平欣","宜引
舉欣","ngjinx
kion",jīn,gan1
钯,U+94AF,"幫開二平麻
滂開二平麻","伯加
普巴","pra
phra",bǎ；pá,baa2；paa4
钫,U+94AB,幫合三平陽,府良,pyang,fāng,fong1
𬬵,U+2CB35,"從開三平侵A
澄開三平侵B","昨淫
直深","zim
drim",chén,cam4
钘,U+9498,匣開四平青,戸經,gheng,xíng,gin1；jing4
钭,U+94AD,透開一上侯,天口,thux,dǒu；tǒu,dau2
𫓪,U+2B4EA,"以合三平仙A
章開三平鍾","與專
職容","jyen
cjyung",qiān,jyun4
𫓧,U+2B4E7,幫合三平虞,甫無,pyo,fū,fu1
钠,U+94A0,日合三去祭A,而銳,njyed,nà,laap6；naap6
𨱂,U+28C42,疑合一平戈,五禾,ngua,é,ngo4
钝,U+949D,定合一去魂,徒困,duonh,dùn,deon6
𰽣,U+30F63,"以開三上眞A
以開三去眞A","余忍
羊晉","jinx
jinh",yǐn,jan6
钤,U+94A4,群開三平鹽B,巨淹,giem,qián,kim4
钣,U+94A3,幫開二上刪,布綰,pranx,bǎn,baan2
钑,U+9491,"心開一入覃
生開三入侵B","蘇合
色立","sop
srip",sà,kap1；saap3；zaap6
钞,U+949E,"初開二去肴
初開二平肴","初敎
楚交","chrauh
chrau",chāo,caau1
钮,U+94AE,娘開三上尤,女久,nriux,niǔ,lau2；nau2
𬬫,U+2CB2B,"並開三平脂A
滂開四平齊","房脂
匹迷","bjii
phe",pī,pai1
𮣳,U+2E8F3,匣合二平耕,戸萌,ghrueng,hóng,wang4
钧,U+94A7,見合三平諄,居勻,kjyn,jūn,gwan1；kwan1
𨱁,U+28C41,以合三入清,營隻,jyek,yì,jik6
𨱄,U+28C44,定合一入魂,陀骨,duot,tú,dat6
钶,U+94B6,影開一平歌,烏何,qa,kē,ko1
铃,U+94C3,來開四平青,郎丁,leng,líng,ling1；ling2；ling4
𰽥,U+30F65,幫開三去庚,陂病,piengh,bǐng,bing3
𬭀,U+2CB40,邪開三上之,詳里,zsix,sì,zi6
钴,U+94B4,見開一上模,公戸,kox,gǔ,gu1；gu2；gwu1；gwu2
钹,U+94B9,並合一入桓,蒲撥,buat,bó,bat6；but6
铍,U+94CD,滂開三平支B,敷羈,phie,pí；pī,pei1；pei4
𬬽,U+2CB3D,從開一入唐,在各,zak,zuó,zok6
钿,U+94BF,"定開四去先
定開四平先","堂練
徒年","denh
den",diàn；tián,din6；tin4
钾,U+94BE,"見開一入談
見開二入銜","古盍
古狎","kap
krap",jiǎ,gaap3
钜,U+949C,群開三上魚,其吕,giox,jù,geoi6
铊,U+94CA,"常開三平麻
書開三平支A","視遮
式支","zja
sje",tuó；tā,se4；si1；taa1；to2；to4
铉,U+94C9,匣合四上先,胡畎,ghuenx,xuàn,jyun5
𬬿,U+2CB3F,章開三平宵A,止遙,cjeu,zhāo,ziu1
铇,U+94C7,"並開二去肴
並開二平肴","防敎
薄交","brauh
brau",bào,paau4
𰽬,U+30F6C,匣合一平戈,戸戈,ghua,hé,wo4
铋,U+94CB,"幫開三入眞B
幫開三去脂B","鄙密
兵媚","pit
piih",bì,bei3；bit1
𰽫,U+30F6B,"心開四平青
生開二平庚","桑經
所庚","seng
srieng",shēng,sang1
𬬺,U+2CB3A,"崇開三上魚
崇開三平魚","牀吕
士魚","zriox
zrio",chú；jǔ,co4
𬬷,U+2CB37,常開三入清,常隻,zjek,shí,sek6
𰽯,U+30F6F,知合三去虞,中句,tryoh,zhù,zyu3
钳,U+94B3,群開三平鹽B,巨淹,giem,qián,kim2；kim4
铅,U+94C5,以合三平仙A,與專,jyen,qiān；yán,jyun4
𰽮,U+30F6E,並開三平尤,縛謀,biu,fú,fau4
钺,U+94BA,云合三入元,王伐,yat,yuè,jyut6
𰽧,U+30F67,"並開三平脂B
滂開三平脂B","符悲
敷悲","bii
phii",pī,pei1
𫓭,U+2B4ED,"影開三平庚
影開三平陽","於驚
於良","qieng
qiang",yāng,joeng1
钵,U+94B5,幫合一入桓,北末,puat,bō,but3
钩,U+94A9,見開一平侯,古侯,ku,gōu,au1；ngau1
钲,U+94B2,章開三平清,諸盈,cjeng,zhēng,zing1；zing3
𰽶,U+30F76,定開一平冬,徒冬,duung,tóng,tung4
铏,U+94CF,匣開四平青,戸經,gheng,xíng,jing4
𫟹,U+2B7F9,匣開一平東,戸公,ghung,hóng,hung4
铰,U+94F0,"見開二上肴
見開二去肴
見開二平肴","古巧
古孝
古肴","kraux
krauh
krau",jiǎo,gaau2；gaau3
𰽹,U+30F79,"以開三平支A
昌開三上支A","弋支
尺氏","je
chjex",chǐ,ci2
铬,U+94EC,"來開一入唐
見合二入庚
見開二入庚","盧各
古伯
古伯","lak
kruak
krak",gè,gok3；lok3；lok6
𰽼,U+30F7C,幫開三上清,必郢,pjengx,bǐng,beng2
𫟸,U+2B7F8,書開三入蒸,賞職,sjik,shì,sik1
铪,U+94EA,見開一入覃,古沓,kop,hā,gaap3；haa1；hap1；hap6
银,U+94F6,疑開三平眞B,語巾,ngin,yín,an2；an4；ngan2；ngan4
铳,U+94F3,昌開三去東,充仲,chjungh,chòng,cung3
铜,U+94DC,定開一平東,徒紅,dung,tóng,tung4
𫓰,U+2B4F0,心合三入諄,辛聿,syt,xù,seot1
𰽻,U+30F7B,"日開三上侵A
日開三平侵A","如甚
如林","njimx
njim",rén,
铚,U+94DA,"知開三入眞B
章開三入眞A","陟栗
之日","trit
cjit",zhì,zat6
铣,U+94E3,心開四上先,蘇典,senx,xiǎn；xǐ,sin2
铨,U+94E8,清合三平仙A,此緣,chyen,quán,cyun4
铢,U+94E2,常合三平虞,市朱,zjyo,zhū,zyu1
𬭅,U+2CB45,匣開一平侯,戸鉤,ghu,xiàng,
铭,U+94ED,明開四平青,莫經,meng,míng,ming2；ming4；ming5
𰽴,U+30F74,溪合二上麻,苦瓦,khruax,kuǎ,kwaa1
铫,U+94EB,"以開三平宵A
定開四去蕭
透開四平蕭","餘昭
徒弔
吐彫","jeu
deuh
theu",diào；yáo,diu6；jiu4；tiu4
铦,U+94E6,"心開三平鹽A
見合一入桓
透開四上添","息廉
古活
他玷","siem
kuat
themx",xiān,cim1
衔,U+8854,匣開二平銜,戸監,ghram,xián,haam4；ham4
锐,U+9510,"以合三去祭A
定合一去泰","以芮
杜外","jyed
duad",ruì,jeoi6
𨱇,U+28C47,群開三平尤,巨鳩,giu,qiú,kau4
销,U+9500,心開三平宵A,相邀,sieu,xiāo,siu1
锑,U+9511,定開四平齊,杜奚,de,tī,tai1
锉,U+9509,"從合一平戈
從開一入東
清合一去戈","昨禾
昨木
麤卧","zua
zuk
chuah",cuò,co2；co3
𰾄,U+30F84,明合一平灰,莫杯,muai,méi,mui4
锒,U+9512,來開一平唐,魯當,lang,láng,long4
钡,U+94A1,幫開一去泰,愽蓋,pad,bèi,bui3
𰾆,U+30F86,以開三入鍾,余蜀,jyuk,yù,juk6
𮣴,U+2E8F4,"以開三平仙A
常開三平仙A","以然
市連","jen
zjen",chán,sin4
铤,U+94E4,定開四上青,徒鼎,dengx,dìng；tǐng,ding3；ding6；ting5
铗,U+94D7,見開四入添,古協,kep,jiá,gaap3
𮸏,U+2EE0F,"清合一平桓
精合三平仙A","七丸
子泉","chuan
cyen",cuān,cyun1
锋,U+950B,滂開三平鍾,敷容,phyung,fēng,fung1
𫓶,U+2B4F6,曉合四平先,火玄,huen,xuān,hyun1
𬭌,U+2CB4C,"匣合二平麻
疑開一平模","戸花
五乎","ghrua
ngo",huá,
铻,U+94FB,"疑開三上魚
疑開三平魚","魚巨
語居","ngiox
ngio",wú；yǔ,jyu5；m4；ng4
𰾃,U+30F83,崇開二入江,士角,zruk,zhuó,zok6
锊,U+950A,來合三入仙A,力輟,lyet,lüè,lyut3
锓,U+9513,"清開三上侵A
精開三平鹽A","七稔
子廉","chimx
ciem",qǐn,cim1
𫓵,U+2B4F5,常開三上眞A,時忍,zjinx,shèn,san6
𰾅,U+30F85,匣開一平覃,胡男,ghom,hán,ham4
锄,U+9504,崇開三平魚,士魚,zrio,chú,co4
锃,U+9503,澄開二去庚,除更,drangh,zèng,caang3；cang3
锔,U+9514,見開三入鍾,居玉,kyuk,jú；jū,guk1；guk6
铓,U+94D3,明合三平陽,武方,myang,máng,mong4
铺,U+94FA,"滂合三平虞
滂開一去模
滂開一平模","芳無
普故
普胡","phyo
phoh
pho",pu；pù；pū,pou1；pou2；pou3
锯,U+952F,見開三去魚,居御,kioh,jù；jū,geoi3；goe3；guk1
𬬮,U+2CB2E,徹開三上陽,丑兩,thriangx,chǎng,cong2
钢,U+94A2,"見開一去唐
見開一平唐","古浪
古郎","kangh
kang",gàng；gāng,gong1；gong3
𬬭,U+2CB2D,滂合三平文,撫文,phyon,lún,leon4
𰾎,U+30F8E,"幫開三平支A
滂開四平齊","府移
匹迷","pje
phe",pī,pai1
铔,U+94D4,影開二平麻,於加,qra,yā,aa1；ngaa1
锥,U+9525,章合三平脂A,職追,cjyi,zhuī,zeoi1
𬭜,U+2CB5C,來合一去灰,盧對,luaih,lèi,leoi6
𰾓,U+30F93,透開一入覃,他合,thop,tà,taap3
锟,U+951F,"見合一上魂
見合一平魂","古本
古渾","kuonx
kuon",kūn,kwan1
锤,U+9524,"澄合三去支B
澄合三平支B","馳僞
直垂","dryeh
drye",chuí,ceoi2；ceoi4
铮,U+94EE,初開二平耕,楚耕,chreng,zhèng；zhēng,zaang1；zang1
𫓻,U+2B4FB,泥開四入添,奴協,nep,niè,nip6
𫓽,U+2B4FD,精開一去冬,子宋,cuungh,cóng,zung3
𬭚,U+2CB5A,"定合一上灰
定合一去灰
常合三平諄","徒猥
徒對
常倫","duaix
duaih
zjyn",chún；duì,deoi6
锬,U+952C,定開一平談,徒甘,dam,tán；xiān,cim1；taam4
锭,U+952D,"定開四去青
端開四去青","徒徑
丁定","dengh
tengh",dìng,ding3；ding6
锜,U+951C,"疑開三上支B
群開三上支B
群開三平支B","魚倚
渠綺
渠羈","ngiex
giex
gie",qí,kei4
钱,U+94B1,"從開三平仙A
精開三上仙A","昨仙
即淺","zien
cienx",qian；qián,cin2；cin4；zin2
𮣵,U+2E8F5,知合二入刪,丁刮,truat,zhuì,zyut3
𫓹,U+2B4F9,"群開三平之
見開三平之","渠之
居之","gi
ki",jī,gei1
𫓾,U+2B4FE,以開三入東,余六,juk,yù,juk6
锦,U+9526,見開三上侵B,居飲,kimx,jǐn,gam2
𰾒,U+30F92,"見合一上桓
見合一去桓","古滿
古玩","kuanx
kuanh",guǎn,gun2
𬭓,U+2CB53,"端開四上先
透開四上先","多殄
他典","tenx
thenx",tiǎn,tin2
锡,U+9521,心開四入青,先擊,sek,xī,sek3；sik3
𬭕,U+2CB55,定開一平豪,徒刀,dau,diāo,diu1
锢,U+9522,見開一去模,古暮,koh,gù,gu3；gwu3
错,U+9519,"清開一入唐
清開一去模","倉各
倉故","chak
choh",cuò,co3；cok3；cou3
录,U+5F55,來開三入鍾,力玉,lyuk,lù,luk2；luk6
𫓸,U+2B4F8,明合三上凡,亡范,myamx,wàn,faan6
锴,U+9534,"溪開二上皆
見開二平皆","苦駭
古諧","khraix
krai",kǎi,gaai1；kaai2
𫔂,U+2B502,端開四平齊,都奚,te,dī,dik6
𫔀,U+2B500,來開四去先,郎甸,lenh,liàn,lin6
锅,U+9505,見合一平戈,古禾,kua,guō,wo1
镀,U+9540,"定開一去模
定開一平模","徒故
同都","doh
do",dù,dou6
𬬬,U+2CB2C,"云合三上微
云合三平微","于鬼
雨非","yoix
yoi",wéi,wai4
𰾟,U+30F9F,"幫開三入東
幫開三去尤","方六
方副","piuk
piuh",fù,fuk1
𫔄,U+2B504,日開三平尤,耳由,nju,róu,jau4
锷,U+9537,疑開一入唐,五各,ngak,è,ngok6；ok6
𰾘,U+30F98,徹開三上侵B,丑甚,thrimx,chěn,zam1
钖,U+9496,以開三平陽,與章,jang,yáng,joeng4
锻,U+953B,端合一去桓,丁貫,tuanh,duàn,dyun3
𰾤,U+30FA4,匣開二平麻,胡加,ghra,xiá,haa4
𰾙,U+30F99,疑合三平虞,虞俱,ngyo,yú,jyu4
锽,U+953D,匣合二平庚,戸盲,ghruang,huáng,wong4
𰾚,U+30F9A,影合一上灰,烏賄,quaix,wěi,wui2
锲,U+9532,"溪開四入先
見開四入先","苦結
古屑","khet
ket",qiè,kit3
𰾢,U+30FA2,"常開三平麻
書開三去支A
書開三平支A","視遮
施智
式支","zja
sjeh
sje",shī,se4
𰾡,U+30FA1,曉合二平耕,呼宏,hrueng,hōng,gwang1
𰾥,U+30FA5,群合三平脂B,渠追,gyi,kuí,kwai4
𬭤,U+2CB64,"匣開一去侯
匣開一平侯","胡遘
戸鉤","ghuh
ghu",hóu,hau4
𨱎,U+28C4E,透開一平侯,託侯,thu,tōu,tau1
𬭥,U+2CB65,清開一平東,倉紅,chung,zǒng,cung1
锾,U+953E,匣合二平刪,戸關,ghruan,huán,waan4；wun4
𰾕,U+30F95,以開三入鹽A,與涉,jep,yè,jip6
𰾜,U+30F9C,端合一平桓,多官,tuan,duān,dyun1
键,U+952E,"群開三上仙B
群開三上元
群開三平仙B","其輦
其偃
渠焉","gienx
gianx
gien",jiàn,gin6
锗,U+9517,端合一上戈,丁果,tuax,zhě,ze2
𰾗,U+30F97,"章開三平侵A
群開三平鹽A
群開三平鹽B","職深
巨鹽
巨淹","cjim
gjem
giem",zhēn,kim4
钟,U+949F,章開三平鍾,職容,cjyung,zhōng,zung1
𫟿,U+2B7FF,初開二平麻,初加,chra,chā,so2
镑,U+9551,滂開一平唐,普郎,phang,bàng,bong2；bong6
𬭪,U+2CB6A,匣開二入刪,胡瞎,ghrat,xiá,hat6
𰾮,U+30FAE,來開三平鹽A,力鹽,liem,lián,lim4
𬭦,U+2CB66,泥開一去侯,奴豆,nuh,nòu,nau6
镕,U+9555,以開三平鍾,餘封,jyung,róng,jung4
𰾯,U+30FAF,定開一平唐,徒郎,dang,táng,tong4
锁,U+9501,心合一上戈,蘇果,suax,suǒ,so2
𬬰,U+2CB30,初開二平庚,楚庚,chrang,qiāng,coeng1
镉,U+9549,來開四入青,郎擊,lek,gé,gaak3；lik6
𬭨,U+2CB68,"澄合三去脂B
澄合三平脂B
端合一平灰","直類
直追
都回","dryih
dryi
tuai",chuí,ceoi4
镈,U+9548,幫合一入唐,補各,pak,bó,bok3
𫔇,U+2B507,幫開四平齊,邊兮,pe,bī,bai1
镃,U+9543,精開三平之,子之,ci,zī,zi1
钨,U+94A8,影開一平模,哀都,qo,wū,wu1
蓥,U+84E5,"以合三平清
影開四去青","余傾
烏定","jyeng
quengh",yíng,jing4
镏,U+954F,來開三平尤,力求,liu,liù；liú,lau4；lau6
铠,U+94E0,"溪開一上咍
溪開一去咍
溪開一去泰","苦亥
苦蓋
苦蓋","khaix
khaih
khad",kǎi,hoi2
铩,U+94E9,"生開三去祭B
生開二入山
生開二去皆","所例
所八
所拜","sried
sret
sraih",shā,saat3
镐,U+9550,匣開一上豪,胡老,ghaux,gǎo；hào,gou2；hou6
镒,U+9552,以開三入眞A,夷質,jit,yì,jat6
𰽜,U+30F5C,影開一平侯,烏侯,qu,ōu,au1
镞,U+955E,精開一入東,作木,cuk,zú,zuk6
𨱌,U+28C4C,見合一去桓,古玩,kuanh,guàn,gun3
链,U+94FE,"來開三平仙A
徹開三平仙B","力延
丑延","lien
thrien",liàn,lin2；lin6
𨱒,U+28C52,"心開一去侯
心開一平侯
生開三去尤","蘇奏
速侯
所佑","suh
su
sriuh",shòu,sau3
镆,U+9546,明開一入唐,慕各,mak,mò,mok6
𬭬,U+2CB6C,邪合三去祭A,祥歲,zsyed,huì,wai6
镠,U+9560,"來開三平尤
來開三平幽","力求
力幽","liu
ly",liú,lau4
镝,U+955D,端開四入青,都歷,tek,dí；dī,dik1；dik6
𬭰,U+2CB70,"以開三平之
以開三平脂A","與之
以脂","ji
jii",yí,ji4
𰾲,U+30FB2,來開一入東,盧谷,luk,lù,luk6
铿,U+94FF,溪開二平耕,口莖,khreng,kēng,hang1
锵,U+9535,清開三平陽,七羊,chiang,qiāng,coeng1
𰾰,U+30FB0,清合一上灰,七罪,chuaix,cuī,ceoi1
𬭭,U+2CB6D,清開四入青,倉歷,chek,qī,cik1
镗,U+9557,透開一平唐,吐郎,thang,táng；tāng,tong1；tong4
镘,U+9558,"明合一去桓
明合一平桓","莫半
母官","muanh
muan",màn,maan6
镛,U+955B,以開三平鍾,餘封,jyung,yōng,jung4
铲,U+94F2,"初開二上山
初開二去刪","初限
初鴈","chrenx
chranh",chǎn,caan2
镜,U+955C,見開三去庚,居慶,kiengh,jìng,geng2；geng3
镖,U+9556,滂開三平宵A,撫招,phjeu,biāo,biu1
镂,U+9542,"來合三平虞
來開一去侯","力朱
盧候","lyo
luh",lòu,lau6
𫓩,U+2B4E9,"初開二平江
清開三平鍾","楚江
七恭","chrung
chyung",cōng,cung1
錾,U+933E,"崇開二平咸
從開一上談
從開一去談
從開一平談
從開三上鹽A","士咸
才敢
藏濫
昨甘
慈染","zrem
zamx
zamh
zam
ziemx",zàn,zaam6
铧,U+94E7,匣合二平麻,戸花,ghrua,huá,waa4
镤,U+9564,並開一入冬,蒲沃,buuk,pú,buk6；pok3
𰾶,U+30FB6,匣合四去齊,胡桂,ghueh,huì,wai6
镪,U+956A,見開三上陽,居兩,kiangx,qiāng；qiǎng,koeng5
䥽,U+497D,滂合一入桓,普活,phuat,pō,put3
𬭸,U+2CB78,"來開三去眞A
來開三平眞A
來開四平青","良刃
力珍
郎丁","linh
lin
leng",lín,leon4
𫔌,U+2B50C,心開一上寒,蘇旱,sanx,sǎn,sin3
𰾴,U+30FB4,心開三平支A,息移,sie,sī,si1
铙,U+94D9,娘開二平肴,女交,nrau,náo,laau4；naau4
𨱑,U+28C51,匣合二平庚,戸盲,ghruang,huáng,waang4
𫔍,U+2B50D,"並合三平元
幫合三平元","附袁
甫煩","byan
pyan",fán,faan4
𫓱,U+2B4F1,群開三平宵B,巨嬌,gieu,qiáo,kiu4
𰾼,U+30FBC,清合三平仙A,此緣,chyen,quān,cyun1
𫔎,U+2B50E,見合四入先,古穴,kuet,jué,kyut3
𨱓,U+28C53,"從開三平宵A
精開三平宵A","昨焦
即消","zieu
cieu",jiāo,ziu1
𨱔,U+28C54,從合一去魂,徂悶,zuonh,zūn,zeon1
镣,U+9563,"來開四去蕭
來開四平蕭","力弔
落蕭","leuh
leu",liào,liu4
镦,U+9566,定合一去灰,徒對,duaih,duì；dūn,deoi1；deoi6；deon1
镡,U+9561,"以開三平侵A
定開一平覃
邪開三平侵A","餘針
徒含
徐林","jim
dom
zsim",chán；tán；xín,cam4；taam4
𰾷,U+30FB7,精開一平覃,作含,com,zān,zaam1
𰽕,U+30F55,見開三平微,居依,kioi,jī,gei1
镫,U+956B,端開一去登,都鄧,tongh,dèng,dang1；dang3
锏,U+950F,見開二去刪,古晏,kranh,jiàn；jiǎn,gaan2；gaan3
𬭼,U+2CB7C,邪合三去脂A,徐醉,zsyih,suì,seoi6
𫓺,U+2B4FA,來開一上模,郎古,lox,lǔ,lou5
镌,U+954C,精合三平仙A,子泉,cyen,juān,zeon3；zyun1
𰽷,U+30F77,曉合一去泰,呼會,huad,huì,wai3
镰,U+9570,來開三平鹽A,力鹽,liem,lián,lim4
䦃,U+4983,知開三入陽,張略,triak,zhuō,zoek3；zoek6
镯,U+956F,"常開三入鍾
澄開二入江","市玉
直角","zjyuk
druk",zhuó,zuk6
镭,U+956D,來合一平灰,魯回,luai,léi,leoi4
𬭽,U+2CB7D,幫開三入清,必益,pjek,bì,bik1
铁,U+94C1,透開四入先,他結,thet,tiě,tit3
镮,U+956E,匣合二平刪,戸關,ghruan,huán,waan4
铎,U+94CE,定開一入唐,徒落,dak,duó,dok6
𰽾,U+30F7E,"見合一上戈
見合一去戈","古火
古卧","kuax
kuah",guǒ,gwo2
铛,U+94DB,"初開二平庚
端開一平唐","楚庚
都郎","chrang
tang",chēng；dang；dāng,caang1；dong1
𫔁,U+2B501,"並合三平文
曉合三去文","符分
許運","byon
hyonh",fén,fan4
铸,U+94F8,章合三去虞,之戍,cjyoh,zhù,zyu3
鿭,U+9FED,"泥開四上齊
泥開四入添","奴禮
奴協","nex
nep",nǐ；xǐ,nip6
镬,U+956C,匣合一入唐,胡郭,ghuak,huò,wok2；wok6
𰼻,U+30F3B,"溪開三平清
溪開四去青","去盈
苦定","khjeng
khengh",qīng,hing1
镔,U+9554,幫開三平眞A,必鄰,pjin,bīn,ban1
𬬾,U+2CB3E,娘開二平耕,女耕,nreng,níng,ning4
𰿂,U+30FC2,心合三平虞,相俞,syo,xū,seoi1
𰾫,U+30FAB,"見開二去銜
見開二平銜","格懺
谷銜","kramh
kram",jiàn,gaam3
鉴,U+9274,"見開二去銜
見開四平先","格懺
古賢","kramh
ken",jiàn,gaam3
锧,U+9527,章開三入眞A,之日,cjit,zhì,zat1
𰿄,U+30FC4,"來合一上灰
來合一平灰","落猥
魯回","luaix
luai",léi,leoi4
𰽚,U+30F5A,見合二上庚,古猛,kruangx,kuàng,kong3
镴,U+9574,來開一入談,盧盍,lap,là,laap6
铄,U+94C4,書開三入陽,書藥,sjak,shuò,soek3
𮣶,U+2E8F6,來開三去魚,良倨,lioh,lǜ,leoi6
镳,U+9573,幫開三平宵B,甫嬌,pieu,biāo,biu1
𬬻,U+2CB3B,來開一平模,落胡,lo,lú,lou4
镧,U+9567,來開一去寒,郎旰,lanh,lán,laan4
𬮁,U+2CB81,"並合一入唐
幫合一入唐","傍各
補各","bak
pak",bó,bok3
𰿈,U+30FC8,精開三平鹽A,子廉,ciem,jiān,zim1
钥,U+94A5,以開三入陽,以灼,jak,yuè；yào,joek6；jyut6
镵,U+9575,"崇開二去銜
崇開二平銜","士懺
鋤銜","zramh
zram",chán,caam4
镶,U+9576,"娘開三平陽
心開三平陽
日開三平陽","女良
息良
汝陽","nriang
siang
njang",xiāng,soeng1
𫔔,U+2B514,"匣合四平齊
曉合三平支A","戸圭
許規","ghue
hjye",xī,kwai4
镊,U+954A,娘開三入鹽B,尼輒,nriep,niè,lip6；nip6
镩,U+9569,清合一去桓,七亂,chuanh,cuān,cyun1
锣,U+9523,來開一平歌,魯何,la,luó,lo2；lo4
銮,U+92AE,來合一平桓,落官,luan,luán,lyun4
凿,U+51FF,"從開一入唐
從開一入東
精開一入唐","在各
昨木
則落","zak
zuk
cak",zuò；záo,zok2；zok6
𰾾,U+30FBE,"疑開三入仙B
疑開三入元","魚列
語訐","ngiet
ngiat",niè,jit6
䦆,U+4986,見合三入陽,居縛,kyak,jué,fok3；kyut3
𰾽,U+30FBD,知開三入鍾,陟玉,tryuk,zhú,suk6
长,U+957F,"澄開三去陽
澄開三平陽
知開三上陽","直亮
直良
知丈","driangh
driang
triangx",cháng；zhǎng,coeng1；coeng2；coeng4；zoeng2；zoeng6
门,U+95E8,明合一平魂,莫奔,muon,men；mén,mun2；mun4
闪,U+95EA,"書開三上鹽A
書開三去鹽A","失冉
舒贍","sjemx
sjemh",shǎn,sim2
闬,U+95EC,匣開一去寒,侯旰,ghanh,hàn,hon6
闭,U+95ED,"幫開四入先
幫開四去齊","方結
博計","pet
peh",bì,bai3
开,U+5F00,溪開一平咍,苦哀,khai,kāi,hoi1
闶,U+95F6,溪開一去唐,苦浪,khangh,kàng；kāng,kong3
𨸂,U+28E02,幫開二平庚,甫盲,prang,bēng,paang1
闳,U+95F3,匣合二平耕,戸萌,ghrueng,hóng,wang4
𨸃,U+28E03,心開一去覃,蘇紺,somh,sàn,saam3
闲,U+95F2,"匣開二平山
見開二平山","戸閒
古閑","ghren
kren",xián,haan2；haan4
间,U+95F4,見開二去山,古莧,krenh,jian；jiàn；jiān,gaan1；gaan3
闵,U+95F5,明開三上眞B,眉殞,minx,mǐn,man5
闸,U+95F8,"影開二入銜
見開一入談","烏甲
古盍","qrap
kap",zhá,zaap6
𰿬,U+30FEC,滂開二平耕,普耕,phreng,pēng,
𬮠,U+2CBA0,曉開二上麻,許下,hrax,xiǎ,haa1
𫠂,U+2B802,來開四平青,郎丁,leng,líng,ling4
𫔰,U+2B530,"並合三去元
並開三去仙B","符万
皮變","byanh
bienh",biàn,bin6
𮤲,U+2E932,幫開三去脂B,兵媚,piih,bì,bei3
阂,U+9602,疑開一去咍,五漑,ngaih,hé,goi1；hat6；ngoi6；oi6
阁,U+9601,見開一入唐,古落,kak,gé,gok2；gok3
阀,U+9600,並合三入元,房越,byat,fá,fat6
𬮢,U+2CBA2,"匣開一去東
匣開二去江","胡貢
胡絳","ghungh
ghrungh",hòng,hung3
闺,U+95FA,見合四平齊,古攜,kue,guī,gwai1
闽,U+95FD,"明合三平文
明開三平眞B","無分
武巾","myon
min",mǐn,man5
阃,U+9603,溪合一上魂,苦本,khuonx,kǔn,kwan2
阆,U+9606,"來開一去唐
來開一平唐","來宕
魯當","langh
lang",làng；láng,long4；long5；long6
